from,to,distance,accessible
corridor_gf_63,room_gf_110,67.89,true
room_gf_110,corridor_gf_36,141.35,true
corridor_gf_36,room_gf_110,141.35,true
room_gf_110,corridor_gf_11,167.68,true
corridor_gf_11,room_gf_110,167.68,true
room_gf_110,corridor_gf_34,167.78,true
corridor_gf_34,room_gf_110,167.78,true
room_gf_110,corridor_gf_54,170.61,true
corridor_gf_54,room_gf_110,170.61,true
room_gf_155,corridor_gf_26,8.17,true
corridor_gf_26,room_gf_155,8.17,true
room_gf_155,corridor_gf_27,62.86,true
corridor_gf_27,room_gf_155,62.86,true
room_gf_155,corridor_gf_41,64.99,true
corridor_gf_41,room_gf_155,64.99,true
room_gf_155,corridor_gf_44,79.98,true
corridor_gf_44,room_gf_155,79.98,true
room_gf_155,corridor_gf_36,83.62,true
corridor_gf_36,room_gf_155,83.62,true
room_gf_155,corridor_gf_51,103.92,true
corridor_gf_51,room_gf_155,103.92,true
room_gf_155,corridor_gf_34,109.26,true
corridor_gf_34,room_gf_155,109.26,true
room_gf_112,corridor_gf_160,11.46,true
corridor_gf_160,room_gf_112,11.46,true
room_gf_112,corridor_gf_26,31.54,true
corridor_gf_26,room_gf_112,31.54,true
room_gf_112,corridor_gf_48,32.91,true
corridor_gf_48,room_gf_112,32.91,true
room_gf_112,corridor_gf_25,71.24,true
corridor_gf_25,room_gf_112,71.24,true
room_gf_112,corridor_gf_36,87.18,true
corridor_gf_36,room_gf_112,87.18,true
room_gf_112,corridor_gf_5,92.44,true
corridor_gf_5,room_gf_112,92.44,true
room_gf_112,corridor_gf_43,93.26,true
corridor_gf_43,room_gf_112,93.26,true
room_gf_112,corridor_gf_100,94.24,true
corridor_gf_100,room_gf_112,94.24,true
room_gf_112,corridor_gf_44,111.63,true
corridor_gf_44,room_gf_112,111.63,true
room_gf_113,corridor_gf_25,12.02,true
corridor_gf_25,room_gf_113,12.02,true
room_gf_113,corridor_gf_26,31.61,true
corridor_gf_26,room_gf_113,31.61,true
room_gf_113,corridor_gf_43,32.74,true
corridor_gf_43,room_gf_113,32.74,true
room_gf_113,corridor_gf_160,70.79,true
corridor_gf_160,room_gf_113,70.79,true
room_gf_113,corridor_gf_48,93.38,true
corridor_gf_48,room_gf_113,93.38,true
room_gf_113,corridor_gf_50,113.9,true
corridor_gf_50,room_gf_113,113.9,true
room_gf_114,corridor_gf_100,70.04,true
corridor_gf_100,room_gf_114,70.04,true
room_gf_114,corridor_gf_42,167.28,true
corridor_gf_42,room_gf_114,167.28,true
room_gf_115,corridor_gf_5,18.69,true
corridor_gf_5,room_gf_115,18.69,true
room_gf_116,corridor_gf_12,40.77,true
corridor_gf_12,room_gf_116,40.77,true
room_gf_116,corridor_gf_10,91.1,true
corridor_gf_10,room_gf_116,91.1,true
room_gf_116,corridor_gf_53,110.65,true
corridor_gf_53,room_gf_116,110.65,true
room_gf_117,corridor_gf_12,60.44,true
corridor_gf_12,room_gf_117,60.44,true
room_gf_118,corridor_gf_12,66.9,true
corridor_gf_12,room_gf_118,66.9,true
room_gf_118,corridor_gf_42,174.48,true
corridor_gf_42,room_gf_118,174.48,true
room_gf_119,corridor_gf_12,77.32,true
corridor_gf_12,room_gf_119,77.32,true
room_gf_120,corridor_gf_42,108.52,true
corridor_gf_42,room_gf_120,108.52,true
room_gf_121,corridor_gf_11,57.85,true
corridor_gf_11,room_gf_121,57.85,true
room_gf_121,corridor_gf_55,68.4,true
corridor_gf_55,room_gf_121,68.4,true
room_gf_122,corridor_gf_28,11.3,true
corridor_gf_28,room_gf_122,11.3,true
room_gf_122,corridor_gf_48,162.79,true
corridor_gf_48,room_gf_122,162.79,true
room_gf_123,corridor_gf_63,25.89,true
corridor_gf_63,room_gf_123,25.89,true
room_gf_123,corridor_gf_16,40.95,true
corridor_gf_16,room_gf_123,40.95,true
room_gf_123,corridor_gf_62,53.15,true
corridor_gf_62,room_gf_123,53.15,true
room_gf_123,corridor_gf_61,54.72,true
corridor_gf_61,room_gf_123,54.72,true
room_gf_123,corridor_gf_9,221.23,true
corridor_gf_9,room_gf_123,221.23,true
room_gf_124,corridor_gf_15,11.19,true
corridor_gf_15,room_gf_124,11.19,true
room_gf_124,corridor_gf_64,24.35,true
corridor_gf_64,room_gf_124,24.35,true
room_gf_124,corridor_gf_16,38.18,true
corridor_gf_16,room_gf_124,38.18,true
room_gf_124,corridor_gf_65,44.57,true
corridor_gf_65,room_gf_124,44.57,true
